Id,Numero,DataAjuizamento,IdClasse,IdAssunto,AnoEleicao
405279017,06000179220196070009,2019-11-2015:42:27.,{241},{11778},0
405279133,00000163320176070008,2017-03-1700:00:00.,{12549},{11778},0
405279175,00000020920186070010,2018-01-1815:06:06.,{12562},{11778},0
405279176,00000016320196070018,2018-01-0717:42:20.,{12553},{11778},0
405279196,00002026420186070091,2018-06-2617:05:55.,{12553},{11778},0
405279200,00000397620176070008,2017-06-0100:00:00.,{12549},{11778},0
405279201,00000365820176070999,2017-03-2122:12:46.,{12559},{11778},0
405279202,00000016920196070016,2019-01-0900:00:00.,{12559},{11778},0
405279210,06000090520206070002,2020-03-1200:00:00.,{12560},{11778},0
405279211,00000449820176070008,2017-06-1300:00:00.,{12549},{11778},0
405279214,06000031920216070016,2021-02-1118:21:12.,{355},{11778},2020
405279215,06000334920196070008,2019-12-1600:00:00.,{12559},{11778},0
405279216,00000646420186070005,2018-09-2014:51:32.,{12559},{11778},0
405279225,00000678620176070091,2017-08-1520:14:24.,{12559},{11778},0
405279226,00000519820186070091,2018-04-2219:18:32.,{12553},{11778},0
405279230,00000425220176070001,2017-04-1016:49:03.,{12549},{11778},0
405279231,06000088120206070014,2020-02-1715:27:10.,{355},{11778},0
405279236,00000360920176070013,2017-04-2716:27:01.,{12549},{11778},0
405279240,00000336620176070009,2017-10-1918:37:04.,{12553},{11778},0
405279241,00001523820186070091,2018-06-0815:31:25.,{12553},{11778},0
405279242,06000119320216070016,2021-04-1300:00:00.,{355},{11778},0
405279289,00000016920186070092,2018-01-0417:11:16.,{12549},{11778},0
405279317,00001872420176070999,2017-06-1418:58:33.,{12559},{11778},0
405279345,00001717020176070999,2017-06-0818:19:22.,{12559},{11778},0
405279370,00000010620176070092,2017-08-0818:25:31.,{12559},{11778},0
405279460,00000039220176070021,2017-03-0614:11:42.,{12549},{11778},0
405279496,00001152420176070001,2017-10-0912:26:20.,{12549},{11778},0
405279506,00000015120186070001,2018-01-1717:32:11.,{261},{11778},0
405279517,00000536820186070091,2018-04-2219:22:47.,{12553},{11778},0
405279621,00000404620176070013,2017-04-2716:33:02.,{12549},{11778},0
405279658,00000037820196070003,2019-02-2617:51:11.,{12562},{11778},0
405279736,00000135120176070017,2017-05-1913:35:21.,{279},{11438},0
405279870,00001145720176070092,2017-12-1518:41:19.,{12559},{11778},0
405279875,06000116620206070004,2020-02-1717:55:22.,{355},{11778},0
405279878,06000046820206070006,2020-02-0713:23:48.,{355},{11778},0
405279886,06000929020216070000,2021-07-2000:00:00.,{12377},{11778},0
405279889,00000750620176070013,2017-07-0613:48:17.,{12549},{11778},0
405279891,06001511220206070001,2020-12-1300:00:00.,{1727},{11778},0
405279895,00000282820186070003,2018-06-2517:35:04.,{261},{11778},0
405279905,00000051920176070003,2017-03-1412:17:15.,{12553},{11778},0
405279910,00001584520186070091,2018-06-1118:15:31.,{12553},{11778},0
405279918,00002100920176070016,2017-12-1218:35:06.,{261},{11778},0
405279920,00001258120176070999,2017-05-2418:42:13.,{12559},{11778},0
405279975,00000969420176070008,2017-11-2300:00:00.,{12549},{11778},0
405279993,00000040620186070001,2018-02-0613:33:14.,{12549},{11778},0
405280016,00000013020186070008,2018-01-2200:00:00.,{12549},{11778},0
405280161,00000029320196070003,2019-02-0814:14:46.,{12549},{11778},0
405280321,00000134420186070008,2018-03-0513:38:30.,{279},{11778},0
405280335,00000106420196070005,2019-02-0715:36:24.,{12559},{11778},0
405280340,00000016120176070009,2017-02-0618:11:00.,{261},{11778},0
405280408,06000332220196070017,2019-11-0700:00:00.,{241},{11778},0
405280475,00000277020196070015,2019-07-1718:42:44.,{12559},{11778},0
405280488,06000358920196070017,2019-11-2800:00:00.,{241},{11778},0
405280490,00000021520186070008,2018-01-2300:00:00.,{12549},{11778},0
405280520,00001880920176070999,2017-06-1418:59:50.,{12559},{11778},0
405280547,00000176320186070014,2018-03-2716:55:09.,{12549},{11778},0
